,HR_mean,HR_std,HR_min,HR_max,HRV_RMSSD,HRV_MeanNN,HRV_SDNN,HRV_CVNN,HRV_CVSD,HRV_MedianNN,HRV_MadNN,HRV_MCVNN,HRV_pNN50,HRV_pNN20,HRV_HF,HRV_VHF,HRV_HFn,HRV_LFHF,HRV_SD1,HRV_SD2,HRV_SD1SD2,RSP_mean,RSP_std,RSP_min,RSP_max,RRV_RMSSD,RRV_MeanBB,RRV_SDBB,RRV_SD1,RRV_SD2,RRV_SD2SD1,label
0,82.67600722911641,4.878820463815667,65.57377049180327,107.3345259391771, 31.762922, 726.06068, 42.991299, 0.059212, 0.043747, 731.0, 40.0302, 0.054761, 8.009709, 52.184466, 0.023894, 0.001088, 0.416646, 1.354586, 22.482725, 55.679251, 0.40379,19.90812200354883,4.045407238666697,7.759958613554061,43.47826086956522, 844.762459, 3039.893617, 719.380236, 599.491855, 821.964332, 1.371102,1
1,82.352758331774,4.985046729898424,65.57377049180327,99.66777408637874, 32.380984, 728.75122, 44.072585, 0.060477, 0.044434, 733.5, 39.2889, 0.053564, 9.268293, 52.926829, 0.022935, 0.001642, 0.308014, 2.175016, 22.924855, 58.039878, 0.394985,18.96222653279575,3.5323223196325957,12.232415902140673,43.47826086956522, 798.725227, 3187.75, 588.600176, 567.886633, 608.609158, 1.071709,1
2,83.94094200749707,4.647160452150568,71.51370679380214,99.66777408637874, 28.805683, 714.870813, 40.292546, 0.056363, 0.040295, 716.0, 44.478, 0.06212, 5.502392, 50.717703, 0.015325, 0.000549, 0.449901, 1.186905, 20.392411, 52.908514, 0.385428,19.201644328080953,2.2570919825762066,13.24210990951225,25.806451612903224, 421.572277, 3132.505376, 405.350643, 299.612727, 488.723339, 1.631184,1
3,85.03269950952102,4.510176198393301,72.99270072992701,102.91595197255575, 26.259975, 705.707547, 38.316208, 0.054295, 0.037211, 705.0, 40.7715, 0.057832, 2.830189, 49.292453, 0.008962, 0.000307, 0.349137, 1.83, 18.590522, 50.953444, 0.364853,20.115815719219636,2.4949308297474286,11.612154054577125,34.742327735958305, 530.899033, 2992.683673, 423.306294, 377.344091, 464.744956, 1.231621,1
4,85.12905489613873,4.079550913522661,72.72727272727273,102.91595197255575, 26.375106, 704.901176, 34.713716, 0.049246, 0.037417, 704.0, 31.1346, 0.044225, 2.823529, 49.882353, 0.032518, 0.001274, 0.424398, 1.317098, 18.671145, 45.192042, 0.413151,20.105265140841755,2.870346113607739,11.084426380934786,34.742327735958305, 637.450088, 2998.896907, 497.713407, 453.107417, 538.63804, 1.188765,1
5,85.63563424095355,5.915800891924501,71.17437722419929,115.83011583011583, 1143.178724, 930.053512, 1362.978205, 1.465484, 1.229154, 714.0, 53.3736, 0.074753, 21.404682, 54.849498, 0.000771, 0.000012, 0.182666, 4.45862, 809.122543, 1589.453769, 0.509057,19.69883133244209,4.623770381418321,7.733952049497295,53.76344086021505, 1086.283889, 3074.670213, 956.201506, 771.366333, 1110.691956, 1.439902,0
6,85.38894958928834,6.039516286896524,71.17437722419929,115.83011583011583, 1048.264752, 1501.040201, 2303.51754, 1.534614, 0.698359, 733.0, 85.9908, 0.117314, 26.633166, 58.79397, 0.000099, 0.000001, 0.080547, 11.401211, 743.113964, 3179.211527, 0.233742,19.16242900284244,4.566670894526717,8.724734622655228,53.76344086021505, 1218.414363, 3179.673913, 950.324029, 866.306497, 1027.494318, 1.186063,0
7,84.30266449473177,5.355154995237806,69.93006993006993,101.35135135135135, 1327.022981, 1103.770677, 1744.06102, 1.580094, 1.202263, 725.5, 54.1149, 0.07459, 22.180451, 62.406015, 0.000141, 0.000003, 0.032685, 29.575853, 940.122432, 2284.969404, 0.411438,18.78826081023498,4.585369379392927,8.337965536409117,60.851926977687626, 1318.824068, 3249.688889, 937.689422, 937.826034, 937.55279, 0.999709,0
8,85.13865785541999,5.80386604666836,69.93006993006993,101.35135135135135, 899.014577, 1016.236301, 878.451345, 0.864416, 0.884651, 730.0, 73.3887, 0.100532, 29.452055, 65.410959, 0.007207, 0.000124, 0.116882, 7.538495, 636.794384, 1068.921764, 0.595735,18.78824349533338,3.055108028329761,11.282437006393382,29.16869227029655, 779.539377, 3227.022222, 581.773093, 554.208644, 608.089338, 1.097221,0
9,85.48290124684945,5.562852367198525,71.42857142857143,100.67114093959732, 3090.500051, 1935.442953, 2882.391538, 1.489267, 1.596792, 731.0, 124.5384, 0.170367, 48.993289, 73.825503, 0.000344, 0.000008, 0.022336, 43.745411, 2192.543426, 3414.539171, 0.64212,18.278546993366003,3.0704226521069997,7.662835249042145,28.66698518872432, 925.101245, 3310.597701, 717.193601, 657.982026, 771.87627, 1.173096,0
